reporter_name,reporter_code,year,classification,classification_version,product_code,mtn_categories,partner_code,partner_name,value,is_electronics
United States,C840,2018,MTN,MT4,T04,Telecommunication equipment,C344,China (Hong Kong SAR),4737271477.0,True
United States,C840,2020,MTN,MT4,T04,Telecommunication equipment,C344,China (Hong Kong SAR),3674869500.0,True
United States,C840,2022,MTN,MT4,T04,Telecommunication equipment,C344,China (Hong Kong SAR),4350098820.0,True
United States,C840,2022,MTN,MT4,T04,Telecommunication equipment,C156,China,1061504181.0,True
United States,C840,2018,MTN,MT4,T04,Telecommunication equipment,C446,China (Macao SAR),25786635.0,True
United States,C840,2019,MTN,MT4,T04,Telecommunication equipment,C344,China (Hong Kong SAR),4532383920.0,True
United States,C840,2019,MTN,MT4,T04,Telecommunication equipment,C446,China (Macao SAR),16682583.0,True
United States,C840,2024,MTN,MT4,T04,Telecommunication equipment,C446,China (Macao SAR),3736240.0,True
United States,C840,2021,MTN,MT4,T04,Telecommunication equipment,C344,China (Hong Kong SAR),4951591295.0,True
United States,C840,2019,MTN,MT4,T04,Telecommunication equipment,C156,China,1272833737.0,True
United States,C840,2024,MTN,MT4,T04,Telecommunication equipment,C156,China,1297055881.0,True
United States,C840,2023,MTN,MT4,T04,Telecommunication equipment,C344,China (Hong Kong SAR),4091488473.0,True
United States,C840,2020,MTN,MT4,T04,Telecommunication equipment,C156,China,1109460992.0,True
United States,C840,2023,MTN,MT4,T04,Telecommunication equipment,C156,China,1182268261.0,True
United States,C840,2021,MTN,MT4,T04,Telecommunication equipment,C446,China (Macao SAR),4620691.0,True
United States,C840,2020,MTN,MT4,T02,Electronic components,C446,China (Macao SAR),165869.0,True
United States,C840,2024,MTN,MT4,T02,Electronic components,C446,China (Macao SAR),327017.0,True
United States,C840,2022,MTN,MT4,T02,Electronic components,C344,China (Hong Kong SAR),184619344.0,True
United States,C840,2024,MTN,MT4,T02,Electronic components,C344,China (Hong Kong SAR),92275855.0,True
United States,C840,2021,MTN,MT4,T02,Electronic components,C344,China (Hong Kong SAR),291498270.0,True
United States,C840,2020,MTN,MT4,T02,Electronic components,C344,China (Hong Kong SAR),253653123.0,True
United States,C840,2022,MTN,MT4,T02,Electronic components,C156,China,260576688.0,True
United States,C840,2019,MTN,MT4,T02,Electronic components,C446,China (Macao SAR),64092.0,True
United States,C840,2023,MTN,MT4,T02,Electronic components,C446,China (Macao SAR),36275.0,True
United States,C840,2018,MTN,MT4,T02,Electronic components,C446,China (Macao SAR),148156.0,True
United States,C840,2023,MTN,MT4,T02,Electronic components,C156,China,185345936.0,True
United States,C840,2019,MTN,MT4,T02,Electronic components,C156,China,194945993.0,True
United States,C840,2018,MTN,MT4,T02,Electronic components,C156,China,293067715.0,True
United States,C840,2021,MTN,MT4,T02,Electronic components,C156,China,230715136.0,True
United States,C840,2020,MTN,MT4,T02,Electronic components,C156,China,250167746.0,True
United States,C840,2022,MTN,MT4,T02,Electronic components,C446,China (Macao SAR),36243.0,True
United States,C840,2023,MTN,MT4,T02,Electronic components,C344,China (Hong Kong SAR),153837751.0,True
United States,C840,2024,MTN,MT4,T02,Electronic components,C156,China,229705545.0,True
United States,C840,2021,MTN,MT4,T02,Electronic components,C446,China (Macao SAR),34708.0,True
United States,C840,2018,MTN,MT4,T02,Electronic components,C344,China (Hong Kong SAR),255228815.0,True
United States,C840,2019,MTN,MT4,T02,Electronic components,C344,China (Hong Kong SAR),177832078.0,True
