reporter_name,reporter_code,year,classification,classification_version,duty_scheme_code,duty_scheme_name,product_code,mtn_categories,simple_average,trade_weighted,duty_free_share,is_electronics
United States,C840,2022,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T04,Telecommunication equipment,0.140625,0.0130632706003861,0.96875,True
United States,C840,2023,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T04,Telecommunication equipment,0.140625,0.0170968306678174,0.96875,True
United States,C840,2018,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T04,Telecommunication equipment,0.410818181818182,0.0606136793374997,0.826372,True
United States,C840,2021,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T04,Telecommunication equipment,0.0,0.0,1.0,True
United States,C840,2024,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T04,Telecommunication equipment,0.140625,0.0231891729994642,0.96875,True
United States,C840,2020,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T04,Telecommunication equipment,0.0,0.0,1.0,True
United States,C840,2019,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T04,Telecommunication equipment,0.207181818181818,0.0393589970252616,0.82304,True
United States,C840,2020,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T02,Electronic components,0.0,0.0,1.0,True
United States,C840,2021,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T02,Electronic components,0.0,0.0,1.0,True
United States,C840,2018,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T02,Electronic components,0.0,0.0,1.0,True
United States,C840,2022,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T02,Electronic components,0.0,0.0,1.0,True
United States,C840,2024,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T02,Electronic components,0.0,0.0,1.0,True
United States,C840,2019,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T02,Electronic components,0.0,0.0,1.0,True
United States,C840,2023,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T02,Electronic components,0.0,0.0,1.0,True
United States,C840,2020,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T03,Semiconductors,0.0,0.0,1.0,True
United States,C840,2019,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T03,Semiconductors,0.0,0.0,1.0,True
United States,C840,2018,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T03,Semiconductors,0.0,0.0,1.0,True
United States,C840,2023,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T03,Semiconductors,0.0,0.0,1.0,True
United States,C840,2022,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T03,Semiconductors,0.0,0.0,1.0,True
United States,C840,2021,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T03,Semiconductors,0.0,0.0,1.0,True
United States,C840,2024,MTN,MT4,A0002,MFN statutory (legal/autonomous) duty,T03,Semiconductors,0.0,0.0,1.0,True
