HTS,HTS Six-Digit,BEC Code,BEC Description,2015 Imports for Consumption,2016 Imports for Consumption,2017 Imports for Consumption,2018 Imports for Consumption,January through April 2019 Imports for Consumption,"Average Imports for 2015, 2016, and 2017",is_electronics
84671950,846719,41,Capital,122211744,113730584,114985256,114532096,29708700,116975864.0,True
84679901,846799,42,Intermediate,93849664,92946888,110705952,140153776,47251752,99167504.0,True
84682010,846820,41,Capital,3144628,1253618,1430428,1375590,267219,1942891.375,True
84688010,846880,41,Capital,1480660,966635,910407,2481288,969366,1119234.0,True
84689010,846890,42,Intermediate,7507744,6040921,7098668,5812428,1903079,6882444.5,True
84689050,846890,42,Intermediate,6117901,5874257,7272080,8834830,2150752,6421412.5,True
84701000,847010,62,Consumption,83417792,59701520,51559388,52542732,8471534,64892900.0,True
84702100,847021,41,Capital,30175200,28674392,25390032,25710498,7054180,28079874.0,True
84702900,847029,41,Capital,4645883,3516794,3338691,2974709,184191,3833789.25,True
84703000,847030,41,Capital,6449475,4864644,6655246,3313401,1104525,5989788.5,True
84709001,847090,41,Capital,26142160,40988536,68047232,80306048,22831412,45059308.0,True
84715001,847150,41,Capital,3229932288,3279923712,4394781696,5521236480,560472384,3634879232.0,True
84716010,847160,41,Capital,118374240,178047472,207718464,297790976,22376828,168046720.0,True
84716070,847160,41,Capital,54659012,76813552,54914168,58674016,18703490,62128912.0,True
84716090,847160,41,Capital,678637440,740042688,644483136,855950400,197091328,687721088.0,True
84717010,847170,41,Capital,28697352,13234295,6882848,11275384,618397,16271498.0,True
84717020,847170,41,Capital,306964512,298560192,58384368,30778032,453490,221303024.0,True
84717050,847170,41,Capital,685680000,655226432,587036672,322358400,22430728,642647680.0,True
84718010,847180,41,Capital,2272433408,1846577920,1171040256,1552919552,263763888,1763350528.0,True
84718040,847180,41,Capital,74393744,93371232,83007088,106944392,8304984,83590688.0,True
84718090,847180,41,Capital,426533440,497427072,340803360,256069632,62532384,421587968.0,True
84719000,847190,41,Capital,329107808,305490400,301346144,287971488,39126180,311981440.0,True
84721000,847210,41,Capital,1713357,1389053,1281383,937866,145391,1461264.375,True
84723000,847230,41,Capital,2514671,2745150,2090465,2609257,874919,2450095.25,True
84729005,847290,41,Capital,47016,31551,77051,40054,0,51872.66797,True
84729010,847290,41,Capital,75709008,91377896,93764704,37662016,7198080,86950536.0,True
84729060,847290,41,Capital,32169,17500,80538,16301,203962,43402.33203,True
84729090,847290,41,Capital,300279584,252344896,234934880,265722528,75425960,262519792.0,True
84732100,847321,42,Intermediate,2394587,2211177,1672006,1278631,254590,2092590.0,True
84732900,847329,42,Intermediate,114276336,132566088,142746576,156058336,21489584,129863000.0,True
84733011,847330,42,Intermediate,7739730432,7310295552,11613531136,12549736448,809407808,8887852032.0,True
84733051,847330,42,Intermediate,2865228288,2764951552,3100315136,3135344896,495648256,2910164992.0,True
84733091,847330,42,Intermediate,201473776,122157728,363084832,390182720,47026316,228905440.0,True
84734021,847340,42,Intermediate,0,0,81886,39574,5852,27295.33398,True
84734041,847340,42,Intermediate,0,0,493217,209950,40375,164405.6719,True
84762100,847621,41,Capital,6694422,4149783,4033233,1556919,51904,4959146.0,True
84762900,847629,41,Capital,109132,359859,1243566,783840,86530,570852.3125,True
84768100,847681,41,Capital,161091,86654,132882,1763279,298259,126875.6641,True
84769000,847690,42,Intermediate,40172096,32722308,30676128,28808036,9214970,34523512.0,True
84775901,847759,41,Capital,5476694,4849370,5534534,13379977,7926046,5286866.0,True
84796000,847960,41,Capital,7389366,13384789,21135028,24128558,4828004,13969728.0,True
84797100,847971,41,Capital,21840,300000,0,22012,0,107280.0,True
84798910,847989,41,Capital,111078216,124673808,174294256,202613536,38770008,136682096.0,True
84798920,847989,41,Capital,15342398,12822210,14765275,15135657,3406706,14309961.0,True
84798970,847989,41,Capital,850651,1164046,917006,1030771,243060,977234.3125,True
84798994,847989,41,Capital,0,161083536,474778144,581159424,240350432,211953888.0,True
84801000,848010,41,Capital,1603570,1904142,1279006,2854976,403605,1595572.625,True
84807910,848079,41,Capital,611611,624415,407094,198960,262370,547706.6875,True
84807990,848079,41,Capital,48161384,47062804,65452256,80952240,20677026,53558816.0,True
84813010,848130,42,Intermediate,20486272,20560464,24005860,33304276,5629850,21684198.0,True
84818010,848180,42,Intermediate,905456704,872235392,930234880,1066901824,268956192,902642304.0,True
84818030,848180,42,Intermediate,501281408,343936960,432975776,755054912,221273472,426064704.0,True
84818050,848180,42,Intermediate,385570560,434772864,506006496,606277120,172678608,442116640.0,True
