HTS,HTS Six-Digit,BEC Code,BEC Description,2015 Imports for Consumption,2016 Imports for Consumption,2017 Imports for Consumption,2018 Imports for Consumption,January through April 2019 Imports for Consumption,"Average Imports for 2015, 2016, and 2017"
84779065,847790,42,Intermediate,341429,357391,200996,1061104,66236,299938.6563
84779085,847790,42,Intermediate,129453776,103709152,151661360,130194440,30600828,128274760
84791000,847910,41,Capital,3938690,5432802,6183535,5732319,1217118,5185009
84792000,847920,41,Capital,2354188,3849729,8031233,4436727,506766,4745050
84793000,847930,41,Capital,229620,733228,1082427,2880567,100987,681758.3125
84794000,847940,41,Capital,5138766,4841069,9581694,3829739,1375609,6520509.5
84795000,847950,41,Capital,20246464,15509783,15242961,14295690,2483724,16999736
84798100,847981,41,Capital,16738608,7312971,8076428,7071011,1676314,10709336
84798200,847982,41,Capital,36854544,32914002,39397816,45895096,15133216,36388788
84798983,847989,41,Capital,1232595,41602,285317,379315,0,519838
84798992,847989,41,Capital,0,728933,1872962,1588170,458469,867298.3125
84799094,847990,42,Intermediate,204170496,171294080,211500800,257944512,65250392,195655120
84802000,848020,41,Capital,5204110,4417140,6322072,11866674,2190950,5314440.5
84803000,848030,41,Capital,1605921,2054740,1655507,3461943,748066,1772056
84804100,848041,41,Capital,21970160,20490152,22511614,19441488,5631554,21657308
84804900,848049,41,Capital,10622520,11732879,9410300,13204580,3073421,10588566
84805000,848050,41,Capital,15823035,13164618,13965408,13427217,3615440,14317687
84807110,848071,41,Capital,764823,1328294,1478661,2246944,127222,1190592.625
84807140,848071,41,Capital,3013828,2869375,4135591,2694724,496725,3339598
84807180,848071,41,Capital,337781472,339997920,426510240,420531104,127079944,368096544
84811000,848110,42,Intermediate,54994988,57969240,63514960,54678148,12346250,58826396
84812000,848120,42,Intermediate,49904828,47551436,75551720,76210312,15777961,57669328
84813020,848130,42,Intermediate,55679728,48084272,46996400,67294032,20419604,50253468
84813090,848130,42,Intermediate,9640457,9650809,12495722,12875984,3367897,10595663
84814000,848140,42,Intermediate,39776800,29492012,36542528,38580072,10730011,35270448
84819090,848190,42,Intermediate,695580352,514490624,666586624,684627200,164716032,625552512
84821050,848210,42,Intermediate,249582000,232800288,264304880,288752544,92427976,248895728
84822000,848220,42,Intermediate,89858208,78219008,86464616,84646520,24013258,84847280
84823000,848230,42,Intermediate,24831516,23751456,29964386,35140728,8844966,26182452
84824000,848240,42,Intermediate,34486416,27563124,29724492,30522516,9843030,30591344
84825000,848250,42,Intermediate,30065052,25503916,30454382,39207744,13339885,28674450
84828000,848280,42,Intermediate,4048860,2991753,3388762,4213220,1340071,3476458.25
84829100,848291,42,Intermediate,25166956,20345676,19916920,23138880,6337908,21809850
84829905,848299,42,Intermediate,22577924,22864236,30598056,31218492,10574380,25346738
84829915,848299,42,Intermediate,30292512,20596966,24483976,32728688,11384220,25124484
84829925,848299,42,Intermediate,11838809,13320861,13834438,16547230,5665726,12998036
84829935,848299,42,Intermediate,1491757,1772493,2443900,2092089,459285,1902716.625
84829945,848299,42,Intermediate,681869,642440,831610,1911375,167439,718639.6875
84829965,848299,42,Intermediate,6745032,8980465,10808910,8653726,4860195,8844802
84833040,848330,42,Intermediate,12097801,14013458,15781663,19201600,5590476,13964307
84834010,848340,42,Intermediate,20854686,11063088,10934342,9419462,2422030,14284039
84834030,848340,42,Intermediate,2273743,2127319,3375535,2374784,337637,2592199
84834080,848340,42,Intermediate,1399874,1130875,2012268,2983236,1058908,1514339
84834090,848340,42,Intermediate,127261232,135445856,142128048,100785888,19015612,134945040
84835060,848350,42,Intermediate,17255968,15788834,20529346,22124650,9725037,17858050
84835090,848350,42,Intermediate,99807848,90940152,94370688,102303344,39257716,95039560
84836040,848360,42,Intermediate,11481525,8421224,9997747,10860970,3544072,9966832
84839010,848390,42,Intermediate,47285472,38463344,39290440,45471512,17124352,41679752
84839020,848390,42,Intermediate,972758,908547,720922,399752,128638,867409
84839030,848390,42,Intermediate,20846356,16296685,12401553,25422512,11485557,16514865
84839070,848390,42,Intermediate,254383,1348760,1346617,1844508,218125,983253.3125
84839080,848390,42,Intermediate,133854992,117416840,137677824,132187760,43957568,129649888
84841000,848410,42,Intermediate,38769336,28314848,39361028,41599080,11553196,35481736
84842000,848420,42,Intermediate,10942882,12746085,18073614,25138560,7260096,13920860
84849000,848490,42,Intermediate,9851830,7912327,7483279,5688636,1196240,8415812
84871000,848710,42,Intermediate,8257936,3843983,3174832,2145697,1337559,5092250.5
84879000,848790,42,Intermediate,29115212,35954088,44521728,44771916,11042719,36530344
85011040,850110,41,Capital,258497520,225841680,247117616,256315136,73961416,243818944
85012020,850120,41,Capital,6621029,6570290,7617388,5697802,1893988,6936235.5
85012050,850120,41,Capital,60335,38804,85770,162641,133686,61636.33203
85012060,850120,41,Capital,15519773,11285614,10886557,10216119,2155067,12563981
85013120,850131,41,Capital,123858384,114922784,104920392,83398728,20689848,114567184
85013150,850131,41,Capital,336029,321102,600800,671722,269719,419310.3438
85013160,850131,41,Capital,33336972,43905120,49270788,38818472,8917941,42170960
85013245,850132,41,Capital,286329,793100,3268419,1455685,31099,1449282.625
85013255,850132,41,Capital,2432445,3332193,2417489,1985227,701798,2727375.75
85013340,850133,41,Capital,662423,208067,4075693,2436370,139944,1648727.625
85013360,850133,41,Capital,865750,2175062,103505,77630,11454,1048105.688
85013430,850134,41,Capital,438081,3621389,22909,842321,290209,1360793
85013460,850134,41,Capital,45947,213470,15223193,1597064,68090,5160870
85015120,850151,41,Capital,2203354,3853337,5907491,3353387,611880,3988060.75
85015140,850151,41,Capital,179464592,130827624,106964120,77007472,12349259,139085440
