reporter_name,reporter_code,year,classification,classification_version,duty_scheme_code,duty_scheme_name,product_code,mtn_categories,simple_average,trade_weighted,duty_free_share
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",L,"Minerals and metals",1.83043164198966,1.76668542541022,0.602046416382253
"United States of America",C840,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",L,"Minerals and metals",1.82123780195169,1.72771242214843,0.598754871220605
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",L,"Minerals and metals",1.80338109902416,1.8206510418772,0.598486898096305
"United States of America",C840,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",L,"Minerals and metals",1.7926112830537,2.02133958282894,0.598486898096305
China,C156,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Q,Clothing,6.77905198776758,6.76613615404998,0
China,C156,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Q,Clothing,6.78492063492063,6.83678654033601,0
China,C156,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Q,Clothing,6.78492063492063,6.88245970898484,0
China,C156,2025,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Q,Clothing,6.78492063492063,,0
China,C156,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Q,Clothing,6.77905198776758,6.78638934955119,0
China,C156,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Q,Clothing,16.0452981651376,15.8335567808394,0
China,C156,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Q,Clothing,6.77905198776758,6.76912358963629,0
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Q,Clothing,12.0253930751788,13.1473524965289,0.0246038095238095
"United States of America",C840,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Q,Clothing,12.1025685468965,13.0867885594989,0.0282880733944954
"United States of America",C840,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Q,Clothing,12.0161824524682,13.1435715362121,0.0246038095238095
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Q,Clothing,11.9198741514602,12.9995663430144,0.0282880733944954
"United States of America",C840,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Q,Clothing,12.117650321773,13.0894448686865,0.0282880733944954
"United States of America",C840,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Q,Clothing,11.7025333765899,13.228240574549,0.0246038095238095
"United States of America",C840,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Q,Clothing,11.8914316673388,12.6607568373748,0.0282880733944954
China,C156,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",A,"Live animals and meat",13.1339563862928,11.9343510977046,0.140520183486239
China,C156,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",A,"Live animals and meat",13.1917757575758,11.1856877873122,0.139242727272727
China,C156,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",A,"Live animals and meat",13.1339563862928,11.9727832920621,0.140520183486239
China,C156,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",A,"Live animals and meat",13.1339563862928,11.9773735397617,0.140520183486239
China,C156,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",A,"Live animals and meat",13.1975308641975,11.9284034206675,0.139242727272727
China,C156,2025,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",A,"Live animals and meat",13.1917757575758,,0.139242727272727
China,C156,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",A,"Live animals and meat",14.1339563862928,11.9768221857327,0.140520183486239
"United States of America",C840,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",A,"Live animals and meat",2.24836060606061,5.572163937314,0.310606363636364
"United States of America",C840,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",A,"Live animals and meat",2.57111162079511,4.96353720888564,0.313455963302752
"United States of America",C840,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",A,"Live animals and meat",2.28231804281346,4.92528845921405,0.313455963302752
"United States of America",C840,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",A,"Live animals and meat",2.15631666666667,4.93878414410161,0.310606363636364
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",A,"Live animals and meat",2.35037614678899,5.18273816898794,0.313455963302752
"United States of America",C840,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",A,"Live animals and meat",2.45112232415902,5.5015691452084,0.313455963302752
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",A,"Live animals and meat",2.10267575757576,5.41641627769788,0.310606363636364
China,C156,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",I,"Cotton, silk and wool",17.23,35.8883495822097,0
China,C156,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",I,"Cotton, silk and wool",17.23,35.2460606491814,0
China,C156,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",I,"Cotton, silk and wool",17.23,35.4816906875484,0
China,C156,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",I,"Cotton, silk and wool",17.23,33.7630435292485,0
China,C156,2025,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",I,"Cotton, silk and wool",17.23,,0
China,C156,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",I,"Cotton, silk and wool",17.23,35.1374912413273,0
China,C156,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",I,"Cotton, silk and wool",17.23,35.3914253323719,0
"United States of America",C840,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",I,"Cotton, silk and wool",2.18903857142857,1.23257432016666,0.53448
"United States of America",C840,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",I,"Cotton, silk and wool",1.7018280952381,1.12286048175926,0.53448
"United States of America",C840,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",I,"Cotton, silk and wool",1.66694857142857,1.58608388985032,0.53448
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",I,"Cotton, silk and wool",1.84189285714286,1.71387719734748,0.53448
"United States of America",C840,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",I,"Cotton, silk and wool",1.61172333333333,1.35489475862628,0.53448
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",I,"Cotton, silk and wool",1.48057619047619,1.25515326283088,0.53448
"United States of America",C840,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",I,"Cotton, silk and wool",1.72023666666667,0.994821801683104,0.53448
China,C156,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",P,Textiles,6.98653628117914,6.40826796359406,0
China,C156,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",P,Textiles,9.60656293392142,7.95422797308618,0
China,C156,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",P,Textiles,6.9797335600907,6.43315074233102,0.000850340136054422
China,C156,2025,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",P,Textiles,6.98653628117914,,0
China,C156,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",P,Textiles,6.98642081189251,6.61380590628007,0
China,C156,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",P,Textiles,6.98642081189251,6.46518368541547,0
China,C156,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",P,Textiles,6.98067467124071,6.30047741384198,0
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",P,Textiles,7.92864643293215,7.11554699081875,0.15042806122449
"United States of America",C840,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",P,Textiles,7.97517293531212,7.37336155777735,0.150051972555746
"United States of America",C840,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",P,Textiles,7.9728649243838,6.0518282743346,0.150051972555746
"United States of America",C840,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",P,Textiles,7.95209444444445,7.089628534647,0.15042806122449
"United States of America",C840,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",P,Textiles,7.94070248374075,7.17615997197099,0.15042806122449
"United States of America",C840,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",P,Textiles,7.96662462223312,7.24208584161501,0.150051972555746
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",P,Textiles,7.96886504533203,6.94199690676602,0.150051972555746
China,C156,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",C,"Fruits and vegetables",12.7015065913371,13.7794889824718,0.0338983050847458
China,C156,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",C,"Fruits and vegetables",12.8405405405405,14.1711289099287,0.0324324324324324
China,C156,2025,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",C,"Fruits and vegetables",12.8387387387387,,0.0324324324324324
China,C156,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",C,"Fruits and vegetables",12.7015065913371,14.5712827862692,0.0338983050847458
China,C156,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",C,"Fruits and vegetables",15.6295668549906,13.8185115011593,0.0338983050847458
China,C156,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",C,"Fruits and vegetables",12.7015065913371,13.9811795797914,0.0338983050847458
China,C156,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",C,"Fruits and vegetables",12.8387387387387,15.0324337795334,0.0324324324324324
"United States of America",C840,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",C,"Fruits and vegetables",5.22969886085012,3.98817609030122,0.165432768361582
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",C,"Fruits and vegetables",5.18875217933261,3.94193879354996,0.164134594594595
"United States of America",C840,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",C,"Fruits and vegetables",5.11719276555072,3.84126028296825,0.16731581920904
"United States of America",C840,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",C,"Fruits and vegetables",5.25703242064764,3.99968939220517,0.162663243243243
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",C,"Fruits and vegetables",5.07279069167002,4.08186375356437,0.165432768361582
"United States of America",C840,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",C,"Fruits and vegetables",5.22780129532985,4.08324393182826,0.165432768361582
"United States of America",C840,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",C,"Fruits and vegetables",5.39704453872932,4.22870456894983,0.164134594594595
China,C156,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",E,"Cereals and food preparations",20.1869658119658,23.8393231228101,0.0769230769230769
China,C156,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",E,"Cereals and food preparations",24.2445887445887,23.3226079109134,0.0779220779220779
China,C156,2025,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",E,"Cereals and food preparations",20.2126068376068,,0.0769230769230769
China,C156,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",E,"Cereals and food preparations",20.29329004329,29.7875692682099,0.0779220779220779
China,C156,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",E,"Cereals and food preparations",20.2835497835498,24.7077961257639,0.0779220779220779
China,C156,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",E,"Cereals and food preparations",20.1869658119658,29.4815746642161,0.0769230769230769
China,C156,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",E,"Cereals and food preparations",20.2835497835498,20.9579286225458,0.0779220779220779
"United States of America",C840,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",E,"Cereals and food preparations",3.12438149350649,9.98238601943576,0.231114285714286
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",E,"Cereals and food preparations",2.97789646464646,9.63759332011208,0.231024675324675
"United States of America",C840,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",E,"Cereals and food preparations",3.16429725829726,9.85279238525388,0.231024675324675
"United States of America",C840,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",E,"Cereals and food preparations",2.9158903421101,7.34324055236245,0.22805
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",E,"Cereals and food preparations",2.84853062678063,5.36491410903795,0.22806282051282
"United States of America",C840,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",E,"Cereals and food preparations",3.20669751082251,9.31259955660723,0.231114285714286
"United States of America",C840,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",E,"Cereals and food preparations",3.04735918710919,6.88308005142883,0.22806282051282
China,C156,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Z,"Unspecified products",,,
China,C156,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Z,"Unspecified products",,,
China,C156,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Z,"Unspecified products",,,
China,C156,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Z,"Unspecified products",,,
China,C156,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Z,"Unspecified products",,,
China,C156,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Z,"Unspecified products",,,
"United States of America",C840,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Z,"Unspecified products",,,
"United States of America",C840,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Z,"Unspecified products",,,
"United States of America",C840,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Z,"Unspecified products",,,
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Z,"Unspecified products",,,
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Z,"Unspecified products",,,
"United States of America",C840,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",Z,"Unspecified products",,,
China,C156,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",B,"Dairy products",12.04,10.6930048405058,0
China,C156,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",B,"Dairy products",12.04,10.6518525239302,0
China,C156,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",B,"Dairy products",12.04,10.7244956628837,0
China,C156,2025,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",B,"Dairy products",12.04,,0
China,C156,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",B,"Dairy products",12.32,10.7085837844527,0
China,C156,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",B,"Dairy products",12.04,10.6624315518022,0
China,C156,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",B,"Dairy products",12.04,10.8770954481669,0
"United States of America",C840,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",B,"Dairy products",22.9238307412008,17.2536483504752,0.062284
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",B,"Dairy products",20.9283693498965,15.0585764780424,0.062284
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",B,"Dairy products",24.4907284886128,15.6295829574086,0.062284
"United States of America",C840,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",B,"Dairy products",21.9803743188406,14.5899542500654,0.062284
"United States of America",C840,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",B,"Dairy products",18.5788339710145,14.9545795729314,0.062284
"United States of America",C840,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",B,"Dairy products",23.0786790724638,15.4438308684019,0.062284
"United States of America",C840,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",B,"Dairy products",33.474770873706,17.4333992225482,0.062284
China,C156,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",O,"Wood, paper, furniture",4.2467816091954,0.868305812786641,0.395402413793103
China,C156,2025,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",O,"Wood, paper, furniture",3.33415693321354,,0.397798742138365
China,C156,2022,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",O,"Wood, paper, furniture",3.32283617849656,0.947814367146123,0.399685534591195
China,C156,2020,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",O,"Wood, paper, furniture",3.36781609195402,1.05738575108307,0.395402413793103
China,C156,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",O,"Wood, paper, furniture",3.35854022988506,1.0673108435025,0.395057586206897
China,C156,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",O,"Wood, paper, furniture",3.36781609195402,0.788502532815587,0.395402413793103
China,C156,2024,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",O,"Wood, paper, furniture",3.33415693321354,1.03401414372531,0.397798742138365
"United States of America",C840,2018,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",O,"Wood, paper, furniture",0.67240725138824,0.457077288061093,0.777169655172414
"United States of America",C840,2019,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",O,"Wood, paper, furniture",0.633148826269516,0.400851513307341,0.866633103448276
"United States of America",C840,2023,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",O,"Wood, paper, furniture",0.738578570276683,0.412315324277609,0.837885534591195
"United States of America",C840,2021,MTN,MT4,A0002,"MFN statutory (legal/autonomous) duty",O,"Wood, paper, furniture",0.631889670865533,0.448333853497276,0.866681034482759
